model,accuracy,precision,recall,f1,roc_auc,pr_auc,optimal_threshold
XGBoost,0.7763333333333333,0.49477351916376305,0.5350414468726451,0.5141202027516293,0.7585319535931776,0.5356461624068448,0.35477370023727417
Random Forest,0.766,0.4751452550032279,0.5546345139412208,0.5118219749652295,0.7518025515269863,0.5129980127691172,0.37
Logistic Regression,0.7871666666666667,0.5205254515599343,0.4777694046721929,0.49823182711198427,0.7066529314049137,0.4913712649894808,0.4041206248710401
